Ensembl Gene ID	Ensembl Transcript ID	Associated Gene Name	Chromosome Name	Gene Start (bp)	Gene End (bp)	Exon Chr Start (bp)	Exon Chr End (bp)	Exon Rank in Transcript	start phase	cDNA coding start	Ensembl Exon ID	Strand
ENSG00000012048	ENST00000357654	BRCA1	17	41196312	41277500	41277288	41277387	1	-1		ENSE00001871077	-1
ENSG00000012048	ENST00000357654	BRCA1	17	41196312	41277500	41276034	41276132	2	-1	120	ENSE00003559512	-1
ENSG00000012048	ENST00000357654	BRCA1	17	41196312	41277500	41267743	41267796	3	2	200	ENSE00003510592	-1
ENSG00000012048	ENST00000357654	BRCA1	17	41196312	41277500	41258473	41258550	4	2	254	ENSE00003541068	-1
ENSG00000012048	ENST00000357654	BRCA1	17	41196312	41277500	41256885	41256973	5	2	332	ENSE00003531836	-1
ENSG00000012048	ENST00000357654	BRCA1	17	41196312	41277500	41256139	41256278	6	1	421	ENSE00003513709	-1
ENSG00000012048	ENST00000357654	BRCA1	17	41196312	41277500	41251792	41251897	7	0	561	ENSE00003642045	-1
ENSG00000012048	ENST00000357654	BRCA1	17	41196312	41277500	41249261	41249306	8	1	667	ENSE00003587679	-1
ENSG00000012048	ENST00000357654	BRCA1	17	41196312	41277500	41247863	41247939	9	2	713	ENSE00003463944	-1
ENSG00000012048	ENST00000357654	BRCA1	17	41196312	41277500	41243452	41246877	10	1	790	ENSE00003522602	-1
ENSG00000012048	ENST00000357654	BRCA1	17	41196312	41277500	41242961	41243049	11	1	4216	ENSE00003547126	-1
ENSG00000012048	ENST00000357654	BRCA1	17	41196312	41277500	41234421	41234592	12	0	4305	ENSE00003527960	-1
ENSG00000012048	ENST00000357654	BRCA1	17	41196312	41277500	41228505	41228631	13	1	4477	ENSE00003484886	-1
ENSG00000012048	ENST00000357654	BRCA1	17	41196312	41277500	41226348	41226538	14	2	4604	ENSE00003537850	-1
ENSG00000012048	ENST00000357654	BRCA1	17	41196312	41277500	41222945	41223255	15	1	4795	ENSE00003497952	-1
ENSG00000012048	ENST00000357654	BRCA1	17	41196312	41277500	41219625	41219712	16	0	5106	ENSE00003492626	-1
ENSG00000012048	ENST00000357654	BRCA1	17	41196312	41277500	41215891	41215968	17	1	5194	ENSE00003591784	-1
ENSG00000012048	ENST00000357654	BRCA1	17	41196312	41277500	41215350	41215390	18	1	5272	ENSE00003672792	-1
ENSG00000012048	ENST00000357654	BRCA1	17	41196312	41277500	41209069	41209152	19	0	5313	ENSE00003458468	-1
ENSG00000012048	ENST00000357654	BRCA1	17	41196312	41277500	41203080	41203134	20	0	5397	ENSE00003477922	-1
ENSG00000012048	ENST00000357654	BRCA1	17	41196312	41277500	41201138	41201211	21	1	5452	ENSE00003628864	-1
ENSG00000012048	ENST00000357654	BRCA1	17	41196312	41277500	41199660	41199720	22	0	5526	ENSE00003687053	-1
ENSG00000012048	ENST00000357654	BRCA1	17	41196312	41277500	41196312	41197819	23	1	5587	ENSE00001814242	-1
ENSG00000012048	ENST00000468300	BRCA1	17	41196312	41277500	41277294	41277468	1	-1		ENSE00001601762	-1
ENSG00000012048	ENST00000468300	BRCA1	17	41196312	41277500	41276034	41276132	2	-1	195	ENSE00003559512	-1
ENSG00000012048	ENST00000468300	BRCA1	17	41196312	41277500	41267743	41267796	3	2	275	ENSE00003510592	-1
ENSG00000012048	ENST00000468300	BRCA1	17	41196312	41277500	41258473	41258550	4	2	329	ENSE00003541068	-1
ENSG00000012048	ENST00000468300	BRCA1	17	41196312	41277500	41256885	41256973	5	2	407	ENSE00003531836	-1
ENSG00000012048	ENST00000468300	BRCA1	17	41196312	41277500	41256139	41256278	6	1	496	ENSE00003513709	-1
ENSG00000012048	ENST00000468300	BRCA1	17	41196312	41277500	41251792	41251897	7	0	636	ENSE00003642045	-1
ENSG00000012048	ENST00000468300	BRCA1	17	41196312	41277500	41249261	41249306	8	1	742	ENSE00003587679	-1
ENSG00000012048	ENST00000468300	BRCA1	17	41196312	41277500	41247863	41247939	9	2	788	ENSE00003463944	-1
ENSG00000012048	ENST00000468300	BRCA1	17	41196312	41277500	41246761	41246877	10	1	865	ENSE00001936588	-1
ENSG00000012048	ENST00000468300	BRCA1	17	41196312	41277500	41242961	41243049	11	1	982	ENSE00003547126	-1
ENSG00000012048	ENST00000468300	BRCA1	17	41196312	41277500	41234421	41234592	12	0	1071	ENSE00003527960	-1
ENSG00000012048	ENST00000468300	BRCA1	17	41196312	41277500	41228505	41228628	13	1	1243	ENSE00001516235	-1
ENSG00000012048	ENST00000468300	BRCA1	17	41196312	41277500	41226348	41226538	14	2	1367	ENSE00003537850	-1
ENSG00000012048	ENST00000468300	BRCA1	17	41196312	41277500	41222945	41223255	15	1	1558	ENSE00003497952	-1
ENSG00000012048	ENST00000468300	BRCA1	17	41196312	41277500	41219625	41219712	16	0	1869	ENSE00003492626	-1
ENSG00000012048	ENST00000468300	BRCA1	17	41196312	41277500	41215891	41215968	17	1	1957	ENSE00003591784	-1
ENSG00000012048	ENST00000468300	BRCA1	17	41196312	41277500	41215350	41215390	18	1	2035	ENSE00003672792	-1
ENSG00000012048	ENST00000468300	BRCA1	17	41196312	41277500	41209069	41209152	19	0	2076	ENSE00003458468	-1
ENSG00000012048	ENST00000468300	BRCA1	17	41196312	41277500	41203080	41203134	20	0	2160	ENSE00003477922	-1
ENSG00000012048	ENST00000468300	BRCA1	17	41196312	41277500	41199660	41199720	21	1	2215	ENSE00003598175	-1
ENSG00000012048	ENST00000468300	BRCA1	17	41196312	41277500	41196822	41197819	22	2	2276	ENSE00001831829	-1
ENSG00000012048	ENST00000586385	BRCA1	17	41196312	41277500	41277199	41277346	1	-1	145	ENSE00002755286	-1
ENSG00000012048	ENST00000586385	BRCA1	17	41196312	41277500	41215891	41215968	2	1	149	ENSE00003591784	-1
ENSG00000012048	ENST00000586385	BRCA1	17	41196312	41277500	41215350	41215390	3	1	227	ENSE00003672792	-1
ENSG00000012048	ENST00000586385	BRCA1	17	41196312	41277500	41209069	41209152	4	0	268	ENSE00003458468	-1
ENSG00000012048	ENST00000586385	BRCA1	17	41196312	41277500	41203080	41203134	5	0	352	ENSE00003477922	-1
ENSG00000012048	ENST00000586385	BRCA1	17	41196312	41277500	41201138	41201211	6	1	407	ENSE00003628864	-1
ENSG00000012048	ENST00000586385	BRCA1	17	41196312	41277500	41199660	41199720	7	0	481	ENSE00003687053	-1
ENSG00000012048	ENST00000586385	BRCA1	17	41196312	41277500	41197580	41197819	8	1	542	ENSE00002914501	-1
ENSG00000012048	ENST00000591534	BRCA1	17	41196312	41277500	41277288	41277346	1	-1		ENSE00002858871	-1
ENSG00000012048	ENST00000591534	BRCA1	17	41196312	41277500	41226348	41226538	2	-1	103	ENSE00003587596	-1
ENSG00000012048	ENST00000591534	BRCA1	17	41196312	41277500	41222945	41223255	3	1	251	ENSE00003497952	-1
ENSG00000012048	ENST00000591534	BRCA1	17	41196312	41277500	41219625	41219712	4	0	562	ENSE00003492626	-1
ENSG00000012048	ENST00000591534	BRCA1	17	41196312	41277500	41215891	41215968	5	1	650	ENSE00003591784	-1
ENSG00000012048	ENST00000591534	BRCA1	17	41196312	41277500	41215350	41215390	6	1	728	ENSE00003672792	-1
ENSG00000012048	ENST00000591534	BRCA1	17	41196312	41277500	41209069	41209152	7	0	769	ENSE00003458468	-1
ENSG00000012048	ENST00000591534	BRCA1	17	41196312	41277500	41203080	41203134	8	0	853	ENSE00003477922	-1
ENSG00000012048	ENST00000591534	BRCA1	17	41196312	41277500	41201138	41201211	9	1	908	ENSE00003628864	-1
ENSG00000012048	ENST00000591534	BRCA1	17	41196312	41277500	41199660	41199720	10	0	982	ENSE00003687053	-1
ENSG00000012048	ENST00000591534	BRCA1	17	41196312	41277500	41197580	41197819	11	1	1043	ENSE00002914501	-1
ENSG00000012048	ENST00000591849	BRCA1	17	41196312	41277500	41277288	41277346	1	-1		ENSE00002858871	-1
ENSG00000012048	ENST00000591849	BRCA1	17	41196312	41277500	41202079	41202207	2	-1	158	ENSE00002899558	-1
ENSG00000012048	ENST00000591849	BRCA1	17	41196312	41277500	41201138	41201211	3	1	189	ENSE00003628864	-1
ENSG00000012048	ENST00000591849	BRCA1	17	41196312	41277500	41199660	41199720	4	0	263	ENSE00003687053	-1
ENSG00000012048	ENST00000591849	BRCA1	17	41196312	41277500	41197580	41197819	5	1	324	ENSE00002914501	-1
ENSG00000012048	ENST00000493795	BRCA1	17	41196312	41277500	41277294	41277419	1	-1		ENSE00001869098	-1
ENSG00000012048	ENST00000493795	BRCA1	17	41196312	41277500	41276034	41276132	2	-1		ENSE00003566275	-1
ENSG00000012048	ENST00000493795	BRCA1	17	41196312	41277500	41258473	41258550	3	-1	233	ENSE00003681626	-1
ENSG00000012048	ENST00000493795	BRCA1	17	41196312	41277500	41256885	41256973	4	2	304	ENSE00003531836	-1
ENSG00000012048	ENST00000493795	BRCA1	17	41196312	41277500	41256139	41256278	5	1	393	ENSE00003513709	-1
ENSG00000012048	ENST00000493795	BRCA1	17	41196312	41277500	41251792	41251897	6	0	533	ENSE00003642045	-1
ENSG00000012048	ENST00000493795	BRCA1	17	41196312	41277500	41249261	41249306	7	1	639	ENSE00003587679	-1
ENSG00000012048	ENST00000493795	BRCA1	17	41196312	41277500	41247863	41247939	8	2	685	ENSE00003463944	-1
ENSG00000012048	ENST00000493795	BRCA1	17	41196312	41277500	41243452	41246877	9	1	762	ENSE00003522602	-1
ENSG00000012048	ENST00000493795	BRCA1	17	41196312	41277500	41242961	41243049	10	1	4188	ENSE00003547126	-1
ENSG00000012048	ENST00000493795	BRCA1	17	41196312	41277500	41234421	41234592	11	0	4277	ENSE00003527960	-1
ENSG00000012048	ENST00000493795	BRCA1	17	41196312	41277500	41228505	41228631	12	1	4449	ENSE00003484886	-1
ENSG00000012048	ENST00000493795	BRCA1	17	41196312	41277500	41226348	41226538	13	2	4576	ENSE00003537850	-1
ENSG00000012048	ENST00000493795	BRCA1	17	41196312	41277500	41222945	41223255	14	1	4767	ENSE00003497952	-1
